Date,Question,Question Body,Reply
"Jun 12, 2022",Q&A - How can malware remain on PC after I format my HDD?,"How can a virus remain in the system after formatting the whole HDD?
What are the types and how to remove them?
I'm asking because my pc is infected with fully undetectable remote access trojan.
Who remain after re-installation on my operating system.(with media created on clean pc of course)
Every opinion is WELCOME !
THANKS !","Guys,sorry for my late reply.
But i had no internet until today ( i think that the RAT have option to stop my internet).
At the moment i use Gentoo.
I know that my pc is infected with RAT,because my pc is doing strange things like example :
-stop my internet
-stop apps
-100 % have and keylogger,because some of my passwords were changed
-sometimes my mouse is moving over my desktop
-my dvd writer just opens without i touch anything
-etc etc

I have tryed to do a low level format and then i flashed my BIOS.
But the virus still remains.
The problem is that all my devices are now hacked ... and even an firewall can't catch them.
What you can suggest me to do?
@The_King how to dump the BIOS/Firmware and where to scan it? THANKS!"
"Jun 12, 2022",Q&A - How can malware remain on PC after I format my HDD?,"How can a virus remain in the system after formatting the whole HDD?
What are the types and how to remove them?
I'm asking because my pc is infected with fully undetectable remote access trojan.
Who remain after re-installation on my operating system.(with media created on clean pc of course)
Every opinion is WELCOME !
THANKS !","Also try antivirus scan, maybe find something.





Ubuntu RescuePack


UALinux / Technology of the future - already today




ualinux.com



"
"Jun 12, 2022",Q&A - How can malware remain on PC after I format my HDD?,"How can a virus remain in the system after formatting the whole HDD?
What are the types and how to remove them?
I'm asking because my pc is infected with fully undetectable remote access trojan.
Who remain after re-installation on my operating system.(with media created on clean pc of course)
Every opinion is WELCOME !
THANKS !","





Does those symptoms occur when you are not connected to the internet ?"
"Jun 12, 2022",Q&A - How can malware remain on PC after I format my HDD?,"How can a virus remain in the system after formatting the whole HDD?
What are the types and how to remove them?
I'm asking because my pc is infected with fully undetectable remote access trojan.
Who remain after re-installation on my operating system.(with media created on clean pc of course)
Every opinion is WELCOME !
THANKS !","If it were me, I would be inclined to physically remove the hard drive and attach it to another computer (perhaps a Windows machine ) as an external drive. I would then reformat the drive using the second computer and run a malware scan on it.

Thats what I would try first personally, although if the firmware of the drive has been compromised, it may be that a more complex solution is needed. Others who are more knowledgeable than me have commented on that approach.

But if this computer is your main device, you might just want to buy a new hard drive. They are cheap enough these days. I‘d seriously consider that option. 

Before I did any of the above I would use a clean device (such as a phone) to update the passwords for my email accounts and anything else that might be important. And make sure two factor authentication is switched on. Perhaps ask for replacement payment cards if you have used any on the infected machine."
"Jun 12, 2022",Q&A - How can malware remain on PC after I format my HDD?,"How can a virus remain in the system after formatting the whole HDD?
What are the types and how to remove them?
I'm asking because my pc is infected with fully undetectable remote access trojan.
Who remain after re-installation on my operating system.(with media created on clean pc of course)
Every opinion is WELCOME !
THANKS !","

This tutorial should help. There are also some good videos on Youtube if you need more info.








Short Tutorial: Firmware Analysis Tool Binwalk [Updated 2022] - All About Testing


Binwalk is a tool to analyze and extract firmware images and helps in identifying code, files, and other information embedded in the binary image of firmware. Binwalk uses libmagic library and custom magic signature file which makes it more effective in an analysis of executable binaries.




allabouttesting.org



"
"Jun 12, 2022",Q&A - How can malware remain on PC after I format my HDD?,"How can a virus remain in the system after formatting the whole HDD?
What are the types and how to remove them?
I'm asking because my pc is infected with fully undetectable remote access trojan.
Who remain after re-installation on my operating system.(with media created on clean pc of course)
Every opinion is WELCOME !
THANKS !","

No,they happen only when my pc is connected to the internet.
Btw,guys with this command (dd if=/dev/sda of=mbr.bin bs=512 count=1) from terminal i was able to save the MBR and scan it here are the results :





VirusTotal


VirusTotal




www.virustotal.com





I also checked that the firmware of the HDD is actual.
I've done a BIOS flash on the machine and it still remains ....
Just don't know what other can be "
"Jun 12, 2022",Q&A - How can malware remain on PC after I format my HDD?,"How can a virus remain in the system after formatting the whole HDD?
What are the types and how to remove them?
I'm asking because my pc is infected with fully undetectable remote access trojan.
Who remain after re-installation on my operating system.(with media created on clean pc of course)
Every opinion is WELCOME !
THANKS !","@Strike,

There can be several possibilities, for example:

Infected router.
Infected Bios/UEFI.
Infected SPI Flash.
Bad USB.
Another infected computer in the local network.
The infected neighborhood network (Emotet).
Local Hacker.
Points 1,4,5 and 6, 7 can be temporarily prevented by disconnecting the machine from the network for some time and not using external devices. I would also disconnect all internal drives and try to install a new system from the DVD on the completely new hard drive. Next, you should observe the system for a couple of days and scan against malware via Kaspersky Live CD created and updated on some clean machine.
The problems related to points 1, 4, 5, 6, and 7 are other stories."
"Jun 12, 2022",Q&A - How can malware remain on PC after I format my HDD?,"How can a virus remain in the system after formatting the whole HDD?
What are the types and how to remove them?
I'm asking because my pc is infected with fully undetectable remote access trojan.
Who remain after re-installation on my operating system.(with media created on clean pc of course)
Every opinion is WELCOME !
THANKS !","If its a local hacker and if he is attacking you by wifi, you can disable his wifi using esp8266. ( search deauther)"
"Jun 12, 2022",Q&A - How can malware remain on PC after I format my HDD?,"How can a virus remain in the system after formatting the whole HDD?
What are the types and how to remove them?
I'm asking because my pc is infected with fully undetectable remote access trojan.
Who remain after re-installation on my operating system.(with media created on clean pc of course)
Every opinion is WELCOME !
THANKS !","

1.I think that the router it isn't infected,because i bought it as new before 1 month.And never entered anywhere the admin panel password.
2.My pc is old and doesn't have a UEFI.
3.That means nothing to me.
4.I always use DVD disks made from clean pc only.
5.BTW all my devices are now hacked with this virus
6.I never open mail attachments/files from untrusted people.
7.This is possible

I will done a scan with Kaspersky Rescue Disk.
And btw i can't afford to buy a new hard disk right now."
"Jun 12, 2022",Q&A - How can malware remain on PC after I format my HDD?,"How can a virus remain in the system after formatting the whole HDD?
What are the types and how to remove them?
I'm asking because my pc is infected with fully undetectable remote access trojan.
Who remain after re-installation on my operating system.(with media created on clean pc of course)
Every opinion is WELCOME !
THANKS !","@Strike,

I posted here to show you that your problem can be very complex. I do not think that you can solve it by asking on the forums. There are many possibilities and it would be hard to help you without sitting in front of your computer.
Anyway if you are still motivated, you need to learn more about hacking, router infections/exploits, rootkits, and bootkits. "
"Jun 12, 2022",Q&A - How can malware remain on PC after I format my HDD?,"How can a virus remain in the system after formatting the whole HDD?
What are the types and how to remove them?
I'm asking because my pc is infected with fully undetectable remote access trojan.
Who remain after re-installation on my operating system.(with media created on clean pc of course)
Every opinion is WELCOME !
THANKS !",@Strike I believe you need to seek professional assistance outside of the forums. 
"Jun 12, 2022",Q&A - How can malware remain on PC after I format my HDD?,"How can a virus remain in the system after formatting the whole HDD?
What are the types and how to remove them?
I'm asking because my pc is infected with fully undetectable remote access trojan.
Who remain after re-installation on my operating system.(with media created on clean pc of course)
Every opinion is WELCOME !
THANKS !","

Most of these problems can be explained by old hardware, unstable linux distro (when you tweak it too much, it's not as stable anymore, makes the apps/OS crash), bad ISP (internet stops working suddenly and then after few secs it works. This reminds me of my last ISP, it was hell).
Not saying your system is clean but I have seen these things happen on my old desktop, turns out it had faulty power supply, everything including mouse & keyboard would go wonky for a few secs every hour and back to normal. I would take the system to a PC repair shop first just to eliminate the boring stuff out.
Also websites get hacked all the time which might explain why some of your passwords were changed (check your hacked credentials here). This is why 2FA is important, and don't reuse the same password on other websites."
"Jul 13, 2022",Q&A - Backdated and disappearing emails - please help,"I am currently working on commision for a Chinese company. Long story short, I have received two backdated emails from them. They simply popped up in my inbox (hotmail) dated the day before, when the day before I checked my email and there was nothing. And today I saw right before my eyes an email disappear from my inbox (it was open and was replaced with an error message, no way I accidentaly deleted it).

I call upon the mighty knowledge pool of MT to help me decipher these shenanignans. I didn't think email was supposed to be able to do that.","I would change your email password immediately and enable 2FA if you have not. Your password is most likely compromised.

Also go to secuirty settings and log out of all devices."
"Jul 13, 2022",Q&A - Backdated and disappearing emails - please help,"I am currently working on commision for a Chinese company. Long story short, I have received two backdated emails from them. They simply popped up in my inbox (hotmail) dated the day before, when the day before I checked my email and there was nothing. And today I saw right before my eyes an email disappear from my inbox (it was open and was replaced with an error message, no way I accidentaly deleted it).

I call upon the mighty knowledge pool of MT to help me decipher these shenanignans. I didn't think email was supposed to be able to do that.","

Security settings look good."
"Jul 13, 2022",Q&A - Backdated and disappearing emails - please help,"I am currently working on commision for a Chinese company. Long story short, I have received two backdated emails from them. They simply popped up in my inbox (hotmail) dated the day before, when the day before I checked my email and there was nothing. And today I saw right before my eyes an email disappear from my inbox (it was open and was replaced with an error message, no way I accidentaly deleted it).

I call upon the mighty knowledge pool of MT to help me decipher these shenanignans. I didn't think email was supposed to be able to do that.","Plus, someone with access to my account might explain the disappearing email, but not the backdated ones."
"Jul 13, 2022",Q&A - Backdated and disappearing emails - please help,"I am currently working on commision for a Chinese company. Long story short, I have received two backdated emails from them. They simply popped up in my inbox (hotmail) dated the day before, when the day before I checked my email and there was nothing. And today I saw right before my eyes an email disappear from my inbox (it was open and was replaced with an error message, no way I accidentaly deleted it).

I call upon the mighty knowledge pool of MT to help me decipher these shenanignans. I didn't think email was supposed to be able to do that.","

Interesting, 

Only thing I can think of is that the person who accessed your email account was in another timezone from you. (just a shot in the dark)

I hope you did change your password. It easy for someone to cover their tracks and log out of sessions.
Look at logged in IP addresses history. Im not sure those can be deleted on hotmail.

You could also contact Hotmail/MS and ask them to check things on their side."
"Jul 13, 2022",Q&A - Backdated and disappearing emails - please help,"I am currently working on commision for a Chinese company. Long story short, I have received two backdated emails from them. They simply popped up in my inbox (hotmail) dated the day before, when the day before I checked my email and there was nothing. And today I saw right before my eyes an email disappear from my inbox (it was open and was replaced with an error message, no way I accidentaly deleted it).

I call upon the mighty knowledge pool of MT to help me decipher these shenanignans. I didn't think email was supposed to be able to do that.","I would be more worried about email vanishing. I had emails from legit companies show up dated e.g. 2 hour back while I just checked for emails 5 mins ago. I had that on home/work pc which I consider clean. It happens very rarely but it happened (at least for me).
Like 1 every 600 mails or so."
"Jul 13, 2022",Q&A - Backdated and disappearing emails - please help,"I am currently working on commision for a Chinese company. Long story short, I have received two backdated emails from them. They simply popped up in my inbox (hotmail) dated the day before, when the day before I checked my email and there was nothing. And today I saw right before my eyes an email disappear from my inbox (it was open and was replaced with an error message, no way I accidentaly deleted it).

I call upon the mighty knowledge pool of MT to help me decipher these shenanignans. I didn't think email was supposed to be able to do that.","

The vanished email was actually still in my the Deleted Items folder, so I can't entirely rule out an accidental deletion. But I'd say it's unlikely. I was reading another email on my PC when this one disappeared from the list of emails in my inbox. I knew this email was open on my cell phone, so I unlocked it to check, and saw instead an ""error loading message"" message.

Maybe the backdating is a Chinese firewall thing, messages get the time stamp when they're sent, but they're sent to officials who check them manually and that takes time? IDK"
"Jul 13, 2022",Q&A - Backdated and disappearing emails - please help,"I am currently working on commision for a Chinese company. Long story short, I have received two backdated emails from them. They simply popped up in my inbox (hotmail) dated the day before, when the day before I checked my email and there was nothing. And today I saw right before my eyes an email disappear from my inbox (it was open and was replaced with an error message, no way I accidentaly deleted it).

I call upon the mighty knowledge pool of MT to help me decipher these shenanignans. I didn't think email was supposed to be able to do that.","

If your PC or Andriod device is infected with a RAT then all security settings will check out because the attacker is using your device and IP address to access your email."
"Jul 13, 2022",Q&A - Backdated and disappearing emails - please help,"I am currently working on commision for a Chinese company. Long story short, I have received two backdated emails from them. They simply popped up in my inbox (hotmail) dated the day before, when the day before I checked my email and there was nothing. And today I saw right before my eyes an email disappear from my inbox (it was open and was replaced with an error message, no way I accidentaly deleted it).

I call upon the mighty knowledge pool of MT to help me decipher these shenanignans. I didn't think email was supposed to be able to do that.","As The_King said, use Antivrius and Malwarebyte to scan the device if you use PC.."
"Jul 13, 2022",Q&A - Backdated and disappearing emails - please help,"I am currently working on commision for a Chinese company. Long story short, I have received two backdated emails from them. They simply popped up in my inbox (hotmail) dated the day before, when the day before I checked my email and there was nothing. And today I saw right before my eyes an email disappear from my inbox (it was open and was replaced with an error message, no way I accidentaly deleted it).

I call upon the mighty knowledge pool of MT to help me decipher these shenanignans. I didn't think email was supposed to be able to do that.","

Maybe hotmail isn't smart enough to handle this situation, and an error took place.

2 The slow delivery of email messages is probably a different issue, it is probably caused by overload on the chinese servers."
"Jul 13, 2022",Q&A - Backdated and disappearing emails - please help,"I am currently working on commision for a Chinese company. Long story short, I have received two backdated emails from them. They simply popped up in my inbox (hotmail) dated the day before, when the day before I checked my email and there was nothing. And today I saw right before my eyes an email disappear from my inbox (it was open and was replaced with an error message, no way I accidentaly deleted it).

I call upon the mighty knowledge pool of MT to help me decipher these shenanignans. I didn't think email was supposed to be able to do that.","




CyberTech said:



As The_King said, use Antivrius and Malwarebyte to scan the device if you use PC..

Click to expand...

MB, EEK, Panda, Comodo, all report a clean PC. Mobile has Bitdefender. Don't think it's the case.




shmu26 said:



1 The disappearing email that appeared in deleteds, this sounds to me more like a glitch with hotmail rather than a security issue.

Maybe hotmail isn't smart enough to handle this situation, and an error took place.

2 The slow delivery of email messages is probably a different issue, it is probably caused by overload on the chinese servers.

Click to expand...

Yeah, that's what I was thinking. I imagine they must have some sort of semi-automated filtering system that might delay or get things wrong. IDK. I already had to stop using another (gmail) address with them because it somehow got blacklisted for spam."
"May 5, 2022","Q&A - What will cybersecurity software look like in the future, say 10-30 years from now?","Please compare effective mechanisms to ineffective mechanisms.
Of course I am HEAVILY biased on this topic, but in my opinion…

Effective
1) Contextual engine
2) Dynamic security postures
3) ML / Ai
4) To a certain extent behavior blocking

Ineffective
1) Sandboxing
2) Antivirus signatures (I would have put this first, but Sandboxing is kinda silly)
3) Relying too much on Digital Signatures

I will probably change my mind a little after thinking about this more, I just thought of this and wanted to post it before I forgot.","I would add sandboxing/isolation in the effective category. I've been using sandboxie for about 10 years, and if you want to know what will be effective 10+ years from now I still see there being a place for it. Explain what you mean by 1) Contextual engine, 2) Dynamic security postures, please."
"May 5, 2022","Q&A - What will cybersecurity software look like in the future, say 10-30 years from now?","Please compare effective mechanisms to ineffective mechanisms.
Of course I am HEAVILY biased on this topic, but in my opinion…

Effective
1) Contextual engine
2) Dynamic security postures
3) ML / Ai
4) To a certain extent behavior blocking

Ineffective
1) Sandboxing
2) Antivirus signatures (I would have put this first, but Sandboxing is kinda silly)
3) Relying too much on Digital Signatures

I will probably change my mind a little after thinking about this more, I just thought of this and wanted to post it before I forgot.","Antiviruses havent relied on signatures since the late 90's, and have employed Machine Learning and AI since the early 2010's."
"May 5, 2022","Q&A - What will cybersecurity software look like in the future, say 10-30 years from now?","Please compare effective mechanisms to ineffective mechanisms.
Of course I am HEAVILY biased on this topic, but in my opinion…

Effective
1) Contextual engine
2) Dynamic security postures
3) ML / Ai
4) To a certain extent behavior blocking

Ineffective
1) Sandboxing
2) Antivirus signatures (I would have put this first, but Sandboxing is kinda silly)
3) Relying too much on Digital Signatures

I will probably change my mind a little after thinking about this more, I just thought of this and wanted to post it before I forgot.","

Yeah, because it is SOOOOOO easy to use ."
"May 5, 2022","Q&A - What will cybersecurity software look like in the future, say 10-30 years from now?","Please compare effective mechanisms to ineffective mechanisms.
Of course I am HEAVILY biased on this topic, but in my opinion…

Effective
1) Contextual engine
2) Dynamic security postures
3) ML / Ai
4) To a certain extent behavior blocking

Ineffective
1) Sandboxing
2) Antivirus signatures (I would have put this first, but Sandboxing is kinda silly)
3) Relying too much on Digital Signatures

I will probably change my mind a little after thinking about this more, I just thought of this and wanted to post it before I forgot.","


Sarcasm?? Either way, I think you're right...sandboxie is easy to use."
"May 5, 2022","Q&A - What will cybersecurity software look like in the future, say 10-30 years from now?","Please compare effective mechanisms to ineffective mechanisms.
Of course I am HEAVILY biased on this topic, but in my opinion…

Effective
1) Contextual engine
2) Dynamic security postures
3) ML / Ai
4) To a certain extent behavior blocking

Ineffective
1) Sandboxing
2) Antivirus signatures (I would have put this first, but Sandboxing is kinda silly)
3) Relying too much on Digital Signatures

I will probably change my mind a little after thinking about this more, I just thought of this and wanted to post it before I forgot.","

Ummmmmm, yeah, they still rely heavily on sigs, and ML/AI did not happen until 2015 or so. Just answer the question."
"May 5, 2022","Q&A - What will cybersecurity software look like in the future, say 10-30 years from now?","Please compare effective mechanisms to ineffective mechanisms.
Of course I am HEAVILY biased on this topic, but in my opinion…

Effective
1) Contextual engine
2) Dynamic security postures
3) ML / Ai
4) To a certain extent behavior blocking

Ineffective
1) Sandboxing
2) Antivirus signatures (I would have put this first, but Sandboxing is kinda silly)
3) Relying too much on Digital Signatures

I will probably change my mind a little after thinking about this more, I just thought of this and wanted to post it before I forgot.","

In what way do they still rely heavily on signatures?

Webroot was the first to employ Machine Learning in the early 2010's.

I wont answer an question based on misinformation"
"May 5, 2022","Q&A - What will cybersecurity software look like in the future, say 10-30 years from now?","Please compare effective mechanisms to ineffective mechanisms.
Of course I am HEAVILY biased on this topic, but in my opinion…

Effective
1) Contextual engine
2) Dynamic security postures
3) ML / Ai
4) To a certain extent behavior blocking

Ineffective
1) Sandboxing
2) Antivirus signatures (I would have put this first, but Sandboxing is kinda silly)
3) Relying too much on Digital Signatures

I will probably change my mind a little after thinking about this more, I just thought of this and wanted to post it before I forgot.","

I thought you were a HUGE VS fan???"
"May 5, 2022","Q&A - What will cybersecurity software look like in the future, say 10-30 years from now?","Please compare effective mechanisms to ineffective mechanisms.
Of course I am HEAVILY biased on this topic, but in my opinion…

Effective
1) Contextual engine
2) Dynamic security postures
3) ML / Ai
4) To a certain extent behavior blocking

Ineffective
1) Sandboxing
2) Antivirus signatures (I would have put this first, but Sandboxing is kinda silly)
3) Relying too much on Digital Signatures

I will probably change my mind a little after thinking about this more, I just thought of this and wanted to post it before I forgot.","Operating System hardening, like OS Armor"
"May 5, 2022","Q&A - What will cybersecurity software look like in the future, say 10-30 years from now?","Please compare effective mechanisms to ineffective mechanisms.
Of course I am HEAVILY biased on this topic, but in my opinion…

Effective
1) Contextual engine
2) Dynamic security postures
3) ML / Ai
4) To a certain extent behavior blocking

Ineffective
1) Sandboxing
2) Antivirus signatures (I would have put this first, but Sandboxing is kinda silly)
3) Relying too much on Digital Signatures

I will probably change my mind a little after thinking about this more, I just thought of this and wanted to post it before I forgot.","


I am. I use only SBIE and VS. Through the years there have been a few changes. But the one thing that has never changed, and never will, is SBIE on a RAM drive."
